Title Name                          Artist                 Average # of Streams 
10000 Hours                         Dan + Shay                   4940812 
24                                  Money Man                    5413810 
34+35                               Ariana Grande               26153463 
7 rings                             Ariana Grande                5982398 
Adore You                           Harry Styles                 8227942 
After Party                         Don Toliver                  5130452 
Agua                                Tainy                        7190335 
All Girls Are The Same              Juice WRLD                   5809760 
All I Want for Christmas Is You     Mariah Carey                 5008815 
All of Me                           John Legend                  5444729 
Angeklagt                           Bonez MC                     6221948 
Are You Bored Yet?                  Wallows                      5075256 
At My Worst                         Pink Sweat$                  4835211 
Ay DiOs Mío!                        KAROL G                     12079018 
Ayer Me Llamó Mi Ex                 KHEA                         5904102 
Azul                                J Balvin                     6221456 
Baby I'm Jealous                    Bebe Rexha                   5632769 
bad guy                             Billie Eilish                7357688 
Bande organisée                     13 Organisé                  5409295 
Be Alright                          Dean Lewis                   5450606 
Be Kind                             Marshmello                   5889158 
Be Like That                        Kane Brown                   6125508 
Beautiful People                    Ed Sheeran                   5140249 
Before You Go                       Lewis Capaldi               12070625 
Believer                            Imagine Dragons              6491706 
Bet You Wanna                       BLACKPINK                    8828378 
Better                              ZAYN                         4933462 
BICHOTA                             KAROL G                      6904120 
Blinding Lights                     The Weeknd                  22261500 
Blueberry Eyes                      MAX                          5567719 
Blueberry Faygo                     Lil Mosey                    8899684 
Bohemian Rhapsody                   Queen                        5286084 
Boy With Luv                        BTS                          4769903 
Break My Heart                      Dua Lipa                     7067850 
Breaking Me                         Topic                       12455296 
Bruises                             Lewis Capaldi                4560503 
Caramelo                            Ozuna                        8302007 
Caramelo                            Ozuna                        9059400 
Caramelo - Remix                    Ozuna                        5611962 
Chica Ideal                         Sebastian Yatra              6991128 
Circles                             Post Malone                  8722323 
Come & Go                           Juice WRLD                  11053437 
Crazy Over You                      BLACKPINK                    5630216 
CÓMO SE SIENTE                      Jhay Cortez                  4632237 
Daddy Issues                        The Neighbourhood            5220027 
Daisy                               Ashnikko                     9667791 
Dakiti                              Bad Bunny                   36489203 
Dance Monkey                        Tones And I                 11940800 
Dancing With A Stranger             Sam Smith                    5229835 
death bed (coffee for your head)    Powfu                        9894542 
Deep End                            Fousheé                      7878798 
Despeinada                          Ozuna                       11442340 
Diamonds                            Sam Smith                    7913055 
Dior                                Pop Smoke                    6424230 
Djadja                              Aya Nakamura                 6637284 
DOLLAZ ON MY HEAD                   Gunna                        4837719 
Don Don                             Daddy Yankee                 6014867 
Don't Start Now                     Dua Lipa                     9909167 
Dreams                              Fleetwood Mac               13681406 
Dynamite                            BTS                         25091442 
E-GIRLS ARE RUINING MY LIFE!        CORPSE                       5162069 
El Mismo Aire                       Camilo                       4803474 
Electric Love                       BØRNS                        6644032 
Elegí                               Rauw Alejandro               4745491 
Enchule                             Rauw Alejandro               5349546 
everything i wanted                 Billie Eilish                5763077 
Fake                                Lauv                         5287383 
Falling                             Harry Styles                 7038214 
Falling                             Trevor Daniel                7126944 
Favorito                            Camilo                       5782537 
Fever                               Dua Lipa                     8235761 
For The Night                       Pop Smoke                   21101066 
Forever After All                   Luke Combs                  10190126 
forget me too                       Machine Gun Kelly            4751756 
FRANCHISE                           Travis Scott                 6582289 
Get You The Moon                    Kina                         4883038 
Glock In My Lap                     21 Savage                    4947593 
Go Crazy                            Chris Brown                  8678456 
Godzilla                            Eminem                       5208751 
